datetime,open,high,low,close,volume
2016-04-21 11:00:00+00:00,120.499,120.523,120.342,120.453,1249.0
2016-04-21 12:00:00+00:00,120.457,120.483,120.261,120.382,1802.0
2016-04-21 13:00:00+00:00,120.38,120.502,120.161,120.497,1894.0
2016-04-21 14:00:00+00:00,120.5,120.532,120.341,120.361,2002.0
2016-04-21 15:00:00+00:00,120.364,120.421,120.26,120.26,958.0
2016-04-21 16:00:00+00:00,120.265,120.351,120.25,120.31,603.0
2016-04-22 07:00:00+00:00,120.37,120.435,120.289,120.334,1616.0
2016-04-22 08:00:00+00:00,120.339,120.515,120.314,120.495,988.0
2016-04-22 09:00:00+00:00,120.5,120.525,120.424,120.444,1037.0
2016-04-22 10:00:00+00:00,120.439,120.444,120.323,120.353,777.0
2016-04-22 11:00:00+00:00,120.358,120.388,120.273,120.295,764.0
2016-04-22 12:00:00+00:00,120.293,120.343,120.192,120.212,1175.0
2016-04-22 13:00:00+00:00,120.217,120.272,120.071,120.071,1365.0
2016-04-22 14:00:00+00:00,120.076,120.163,120.01,120.161,1567.0
2016-04-22 15:00:00+00:00,120.166,120.221,120.131,120.191,908.0
2016-04-22 16:00:00+00:00,120.195,120.281,120.17,120.19,393.0
2016-04-25 07:00:00+00:00,120.091,120.287,120.061,120.236,1425.0
2016-04-25 08:00:00+00:00,120.239,120.306,120.196,120.296,678.0
2016-04-25 09:00:00+00:00,120.291,120.346,120.155,120.205,843.0
2016-04-25 10:00:00+00:00,120.201,120.235,120.165,120.165,632.0
2016-04-25 11:00:00+00:00,120.17,120.275,120.165,120.19,653.0
2016-04-25 12:00:00+00:00,120.187,120.28,120.064,120.084,893.0
2016-04-25 13:00:00+00:00,120.081,120.084,119.848,119.968,1701.0
2016-04-25 14:00:00+00:00,119.973,120.173,119.943,120.083,1088.0
2016-04-25 15:00:00+00:00,120.088,120.143,120.012,120.093,653.0
2016-04-25 16:00:00+00:00,120.088,120.093,120.042,120.092,230.0
2016-04-26 07:00:00+00:00,120.071,120.097,119.996,120.046,1112.0
2016-04-26 08:00:00+00:00,120.049,120.147,119.905,119.975,985.0
2016-04-26 09:00:00+00:00,119.978,120.096,119.978,120.025,664.0
2016-04-26 10:00:00+00:00,120.021,120.065,119.844,119.884,1040.0
2016-04-26 11:00:00+00:00,119.887,119.934,119.736,119.803,1876.0
2016-04-26 12:00:00+00:00,119.808,119.874,119.633,119.693,1737.0
2016-04-26 13:00:00+00:00,119.697,119.803,119.642,119.702,1285.0
2016-04-26 14:00:00+00:00,119.705,119.823,119.642,119.722,1298.0
2016-04-26 15:00:00+00:00,119.717,119.722,119.531,119.631,1016.0
2016-04-26 16:00:00+00:00,119.626,119.626,119.51,119.52,306.0
2016-04-27 07:00:00+00:00,119.771,119.839,119.655,119.816,811.0
2016-04-27 08:00:00+00:00,119.821,119.846,119.725,119.805,753.0
2016-04-27 09:00:00+00:00,119.81,119.816,119.705,119.735,595.0
2016-04-27 10:00:00+00:00,119.732,119.805,119.684,119.79,697.0
