datetime,open,high,low,close,volume
2006-04-24 21:00:00+00:00,2.3,2.311,2.274,2.286,360.0
2006-04-25 21:00:00+00:00,2.287,2.307,2.28,2.293,374.0
2006-04-26 21:00:00+00:00,2.293,2.298,2.267,2.294,332.0
2006-04-27 21:00:00+00:00,2.292,2.372,2.285,2.36,271.0
2006-04-30 21:00:00+00:00,2.366,2.392,2.357,2.362,126.0
2006-05-01 21:00:00+00:00,2.365,2.365,2.316,2.321,130.0
2006-05-02 21:00:00+00:00,2.319,2.337,2.293,2.308,129.0
2006-05-03 21:00:00+00:00,2.301,2.324,2.282,2.287,99.0
2006-05-04 21:00:00+00:00,2.302,2.33,2.291,2.298,64.0
2006-05-07 21:00:00+00:00,2.299,2.299,2.252,2.265,88.0
2006-05-08 21:00:00+00:00,2.268,2.301,2.268,2.279,69.0
2006-05-09 21:00:00+00:00,2.298,2.328,2.29,2.3,57.0
2006-05-10 21:00:00+00:00,2.332,2.379,2.329,2.377,63.0
2006-05-11 21:00:00+00:00,2.365,2.512,2.363,2.476,1364.0
2006-05-14 21:00:00+00:00,2.487,2.511,2.457,2.501,1219.0
2006-05-15 21:00:00+00:00,2.494,2.5,2.468,2.493,884.0
2006-05-16 21:00:00+00:00,2.488,2.535,2.477,2.533,1199.0
2006-05-17 21:00:00+00:00,2.536,2.544,2.498,2.508,935.0
2006-05-18 21:00:00+00:00,2.506,2.506,2.433,2.433,1056.0
2006-05-21 21:00:00+00:00,2.455,2.462,2.393,2.459,1219.0
2006-05-22 21:00:00+00:00,2.455,2.473,2.42,2.444,1001.0
2006-05-23 21:00:00+00:00,2.435,2.437,2.397,2.414,777.0
2006-05-24 21:00:00+00:00,2.412,2.454,2.393,2.452,852.0
2006-05-25 21:00:00+00:00,2.45,2.492,2.45,2.459,901.0
2006-05-29 21:00:00+00:00,2.469,2.501,2.449,2.47,866.0
2006-05-30 21:00:00+00:00,2.468,2.478,2.428,2.445,839.0
2006-05-31 21:00:00+00:00,2.443,2.486,2.405,2.478,933.0
2006-06-01 21:00:00+00:00,2.474,2.529,2.452,2.524,1010.0
2006-06-04 21:00:00+00:00,2.496,2.514,2.456,2.465,695.0
2006-06-05 21:00:00+00:00,2.456,2.463,2.413,2.418,812.0
2006-06-06 21:00:00+00:00,2.419,2.457,2.386,2.452,1142.0
2006-06-07 21:00:00+00:00,2.447,2.457,2.392,2.397,823.0
2006-06-08 21:00:00+00:00,2.4,2.418,2.347,2.362,1003.0
2006-06-11 21:00:00+00:00,2.439,2.46,2.412,2.426,1196.0
2006-06-12 21:00:00+00:00,2.428,2.428,2.373,2.383,924.0
2006-06-13 21:00:00+00:00,2.386,2.403,2.321,2.326,954.0
2006-06-14 21:00:00+00:00,2.329,2.342,2.276,2.286,1017.0
2006-06-15 21:00:00+00:00,2.286,2.328,2.286,2.307,675.0
2006-06-18 21:00:00+00:00,2.296,2.311,2.257,2.257,648.0
2006-06-19 21:00:00+00:00,2.26,2.27,2.241,2.261,496.0
2006-06-20 21:00:00+00:00,2.262,2.3,2.259,2.295,416.0
2006-06-21 21:00:00+00:00,2.295,2.306,2.264,2.272,464.0
2006-06-22 21:00:00+00:00,2.267,2.28,2.249,2.251,312.0
2006-06-25 21:00:00+00:00,2.237,2.237,2.184,2.204,546.0
2006-06-26 21:00:00+00:00,2.204,2.23,2.189,2.228,472.0
2006-06-27 21:00:00+00:00,2.228,2.261,2.204,2.232,473.0
2006-06-28 21:00:00+00:00,2.232,2.278,2.229,2.268,433.0
2006-06-29 21:00:00+00:00,2.266,2.339,2.266,2.329,357.0
2006-07-02 21:00:00+00:00,2.374,2.423,2.358,2.418,152.0
2006-07-04 21:00:00+00:00,2.447,2.455,2.369,2.379,198.0
2006-07-05 21:00:00+00:00,2.379,2.455,2.377,2.44,107.0
2006-07-06 21:00:00+00:00,2.455,2.456,2.369,2.399,131.0
2006-07-09 21:00:00+00:00,2.453,2.506,2.423,2.467,131.0
2006-07-10 21:00:00+00:00,2.492,2.545,2.489,2.536,119.0
2006-07-11 21:00:00+00:00,2.524,2.592,2.492,2.587,110.0
2006-07-12 21:00:00+00:00,2.565,2.565,2.519,2.524,68.0
2006-07-13 21:00:00+00:00,2.519,2.556,2.48,2.532,763.0
2006-07-16 21:00:00+00:00,2.515,2.52,2.443,2.446,649.0
2006-07-17 21:00:00+00:00,2.449,2.466,2.374,2.396,670.0
2006-07-18 21:00:00+00:00,2.399,2.404,2.322,2.38,746.0
2006-07-19 21:00:00+00:00,2.373,2.415,2.345,2.36,739.0
2006-07-20 21:00:00+00:00,2.357,2.367,2.29,2.31,641.0
2006-07-23 21:00:00+00:00,2.312,2.345,2.293,2.33,477.0
2006-07-24 21:00:00+00:00,2.33,2.382,2.33,2.338,562.0
2006-07-25 21:00:00+00:00,2.341,2.364,2.301,2.301,427.0
2006-07-26 21:00:00+00:00,2.301,2.329,2.299,2.324,455.0
2006-07-27 21:00:00+00:00,2.326,2.337,2.31,2.32,351.0
2006-07-30 21:00:00+00:00,2.342,2.35,2.318,2.338,448.0
2006-07-31 21:00:00+00:00,2.346,2.369,2.322,2.356,669.0
2006-08-01 21:00:00+00:00,2.361,2.433,2.357,2.424,762.0
2006-08-02 21:00:00+00:00,2.419,2.422,2.39,2.403,556.0
2006-08-03 21:00:00+00:00,2.401,2.438,2.389,2.401,424.0
2006-08-06 21:00:00+00:00,2.385,2.385,2.344,2.351,434.0
2006-08-07 21:00:00+00:00,2.351,2.351,2.308,2.315,479.0
2006-08-08 21:00:00+00:00,2.316,2.361,2.313,2.358,393.0
2006-08-09 21:00:00+00:00,2.359,2.364,2.342,2.342,388.0
2006-08-10 21:00:00+00:00,2.347,2.358,2.206,2.208,788.0
2006-08-13 21:00:00+00:00,2.211,2.211,2.147,2.189,681.0
2006-08-14 21:00:00+00:00,2.187,2.2,2.148,2.19,485.0
2006-08-15 21:00:00+00:00,2.188,2.221,2.182,2.184,454.0
2006-08-16 21:00:00+00:00,2.184,2.207,2.148,2.16,470.0
2006-08-17 21:00:00+00:00,2.166,2.178,2.142,2.169,399.0
2006-08-20 21:00:00+00:00,2.171,2.189,2.164,2.187,332.0
2006-08-21 21:00:00+00:00,2.185,2.193,2.161,2.168,299.0
2006-08-22 21:00:00+00:00,2.168,2.226,2.166,2.214,440.0
2006-08-23 21:00:00+00:00,2.214,2.257,2.212,2.252,462.0
2006-08-24 21:00:00+00:00,2.247,2.26,2.213,2.231,474.0
2006-08-27 21:00:00+00:00,2.226,2.256,2.222,2.227,408.0
2006-08-28 21:00:00+00:00,2.227,2.235,2.208,2.211,349.0
2006-08-29 21:00:00+00:00,2.208,2.276,2.203,2.271,503.0
2006-08-30 21:00:00+00:00,2.266,2.307,2.255,2.302,331.0
2006-08-31 21:00:00+00:00,2.295,2.303,2.281,2.286,141.0
