datetime,open,high,low,close,volume
2006-04-28 21:00:00+00:00,2.366,2.392,2.282,2.298,548.0
2006-05-05 21:00:00+00:00,2.299,2.512,2.252,2.476,1641.0
2006-05-12 21:00:00+00:00,2.487,2.544,2.433,2.433,5293.0
2006-05-19 21:00:00+00:00,2.455,2.492,2.393,2.459,4750.0
2006-05-26 21:00:00+00:00,2.469,2.529,2.405,2.524,3648.0
2006-06-02 21:00:00+00:00,2.496,2.514,2.347,2.362,4475.0
2006-06-09 21:00:00+00:00,2.439,2.46,2.276,2.307,4766.0
2006-06-16 21:00:00+00:00,2.296,2.311,2.241,2.251,2336.0
2006-06-23 21:00:00+00:00,2.237,2.339,2.184,2.329,2281.0
2006-06-30 21:00:00+00:00,2.374,2.456,2.358,2.399,588.0
2006-07-07 21:00:00+00:00,2.453,2.592,2.423,2.532,1191.0
2006-07-14 21:00:00+00:00,2.515,2.52,2.29,2.31,3445.0
2006-07-21 21:00:00+00:00,2.312,2.382,2.293,2.32,2272.0
2006-07-28 21:00:00+00:00,2.342,2.438,2.318,2.401,2859.0
2006-08-04 21:00:00+00:00,2.385,2.385,2.206,2.208,2482.0
2006-08-11 21:00:00+00:00,2.211,2.221,2.142,2.169,2489.0
2006-08-18 21:00:00+00:00,2.171,2.26,2.161,2.231,2007.0
2006-08-25 21:00:00+00:00,2.226,2.307,2.203,2.286,1732.0
2006-09-01 21:00:00+00:00,2.294,2.33,2.235,2.309,442.0
2006-09-08 21:00:00+00:00,2.316,2.316,2.221,2.281,2313.0
2006-09-15 21:00:00+00:00,2.293,2.443,2.289,2.417,6738.0
2006-09-22 21:00:00+00:00,2.406,2.551,2.397,2.506,7598.0
2006-09-29 21:00:00+00:00,2.512,2.64,2.498,2.597,8879.0
2006-10-06 21:00:00+00:00,2.598,3.046,2.586,3.031,14919.0
2006-10-13 21:00:00+00:00,3.019,3.125,2.976,3.018,11111.0
2006-10-20 21:00:00+00:00,3.008,3.238,2.968,3.216,12237.0
2006-10-27 21:00:00+00:00,3.204,3.441,3.113,3.336,11733.0
2006-11-03 22:00:00+00:00,3.338,3.586,3.308,3.363,12352.0
2006-11-10 22:00:00+00:00,3.341,3.593,3.334,3.494,12804.0
2006-11-17 22:00:00+00:00,3.512,3.658,3.512,3.643,5729.0
2006-11-24 22:00:00+00:00,3.651,3.747,3.578,3.702,4923.0
2006-12-01 22:00:00+00:00,3.713,3.713,3.476,3.53,1745.0
2006-12-08 22:00:00+00:00,3.522,3.611,3.484,3.549,4318.0
2006-12-15 22:00:00+00:00,3.55,3.707,3.486,3.7,7637.0
2006-12-22 22:00:00+00:00,3.721,3.792,3.708,3.774,5078.0
2006-12-29 22:00:00+00:00,3.772,3.784,3.485,3.575,7694.0
2007-01-05 22:00:00+00:00,3.585,3.861,3.429,3.861,11779.0
2007-01-12 22:00:00+00:00,4.061,4.103,3.926,3.978,14331.0
2007-01-19 22:00:00+00:00,3.931,4.022,3.888,3.975,11796.0
2007-01-26 22:00:00+00:00,3.982,4.018,3.879,3.953,10017.0
2007-02-02 22:00:00+00:00,3.974,4.039,3.856,4.005,10551.0
2007-02-09 22:00:00+00:00,4.009,4.133,3.978,4.123,8787.0
2007-02-16 22:00:00+00:00,4.127,4.315,4.095,4.26,6933.0
2007-02-23 22:00:00+00:00,4.272,4.34,4.034,4.089,4768.0
2007-03-02 22:00:00+00:00,4.093,4.188,4.009,4.062,1190.0
2007-03-09 22:00:00+00:00,4.078,4.08,3.827,3.895,8280.0
2007-03-16 21:00:00+00:00,3.938,4.034,3.841,3.946,9313.0
2007-03-23 21:00:00+00:00,3.922,3.945,3.675,3.675,9545.0
2007-03-30 21:00:00+00:00,3.507,3.616,3.372,3.603,7985.0
2007-04-06 21:00:00+00:00,3.7,3.796,3.444,3.645,13318.0
2007-04-13 21:00:00+00:00,3.622,3.722,3.472,3.564,8520.0
2007-04-20 21:00:00+00:00,3.55,3.775,3.462,3.605,5685.0
2007-04-27 21:00:00+00:00,3.603,3.85,3.504,3.792,2156.0
2007-05-04 21:00:00+00:00,3.808,3.888,3.43,3.609,871.0
2007-05-11 21:00:00+00:00,3.61,3.73,3.486,3.64,11279.0
2007-05-18 21:00:00+00:00,3.64,3.764,3.613,3.7,10776.0
2007-05-25 21:00:00+00:00,3.688,3.904,3.581,3.814,11421.0
2007-06-01 21:00:00+00:00,3.802,3.853,3.669,3.78,11896.0
2007-06-08 21:00:00+00:00,3.927,4.198,3.837,4.148,14767.0
2007-06-15 21:00:00+00:00,4.208,4.253,3.636,3.646,12456.0
2007-06-22 21:00:00+00:00,3.639,3.656,3.218,3.336,6998.0
2007-06-29 21:00:00+00:00,3.288,3.363,3.163,3.325,1386.0
2007-07-06 21:00:00+00:00,3.335,3.494,3.251,3.479,1581.0
2007-07-13 21:00:00+00:00,3.401,3.404,3.095,3.119,6816.0
2007-07-20 21:00:00+00:00,3.114,3.207,3.032,3.166,5815.0
2007-07-27 21:00:00+00:00,3.186,3.255,3.088,3.22,5490.0
2007-08-03 21:00:00+00:00,3.193,3.386,3.125,3.292,6229.0
2007-08-10 21:00:00+00:00,3.329,3.369,3.066,3.26,5764.0
2007-08-17 21:00:00+00:00,3.243,3.52,3.218,3.389,4358.0
2007-08-24 21:00:00+00:00,3.365,3.387,3.144,3.23,3234.0
2007-08-31 21:00:00+00:00,3.264,3.392,3.19,3.308,1056.0
2007-09-07 21:00:00+00:00,3.308,3.419,3.216,3.318,3330.0
2007-09-14 21:00:00+00:00,3.32,3.603,3.284,3.601,13430.0
2007-09-21 21:00:00+00:00,3.591,3.735,3.527,3.578,14046.0
2007-09-28 21:00:00+00:00,3.583,3.617,3.269,3.296,12618.0
2007-10-05 21:00:00+00:00,3.3,3.46,3.231,3.39,11327.0
2007-10-12 21:00:00+00:00,3.399,3.602,3.387,3.588,11093.0
2007-10-19 21:00:00+00:00,3.573,3.647,3.461,3.633,11261.0
2007-10-26 21:00:00+00:00,3.628,3.723,3.586,3.686,12335.0
2007-11-02 21:00:00+00:00,3.666,3.845,3.643,3.796,12230.0
2007-11-09 22:00:00+00:00,3.786,3.789,3.677,3.739,9362.0
2007-11-16 22:00:00+00:00,3.741,3.854,3.691,3.849,5718.0
2007-11-23 22:00:00+00:00,3.849,3.902,3.752,3.824,6512.0
2007-11-30 22:00:00+00:00,3.814,3.986,3.8,3.986,3146.0
2007-12-07 22:00:00+00:00,3.986,4.235,3.963,4.216,4335.0
2007-12-14 22:00:00+00:00,4.218,4.325,4.149,4.277,10730.0
2007-12-21 22:00:00+00:00,4.278,4.425,4.254,4.379,6737.0
2007-12-28 22:00:00+00:00,4.361,4.556,4.347,4.535,9752.0
2008-01-04 22:00:00+00:00,4.53,4.821,4.492,4.821,10738.0
2008-01-11 22:00:00+00:00,4.923,5.063,4.833,4.862,13464.0
2008-01-18 22:00:00+00:00,4.808,4.943,4.591,4.887,13998.0
2008-01-25 22:00:00+00:00,4.872,5.009,4.809,4.923,13059.0
2008-02-01 22:00:00+00:00,4.93,5.207,4.837,5.019,18466.0
2008-02-08 22:00:00+00:00,5.036,5.11,4.85,5.093,13793.0
2008-02-15 22:00:00+00:00,5.093,5.241,5.084,5.178,7516.0
2008-02-22 22:00:00+00:00,5.18,5.444,5.096,5.407,6769.0
2008-02-29 22:00:00+00:00,5.434,5.608,5.278,5.295,2418.0
2008-03-07 22:00:00+00:00,5.29,5.704,5.157,5.489,4877.0
2008-03-14 21:00:00+00:00,5.492,5.571,4.989,4.99,12739.0
2008-03-21 21:00:00+00:00,5.019,5.549,4.956,5.527,16225.0
2008-03-28 21:00:00+00:00,5.538,5.954,5.5,5.907,19808.0
2008-04-04 21:00:00+00:00,5.886,6.096,5.775,5.783,17496.0
2008-04-11 21:00:00+00:00,5.821,6.046,5.74,5.954,12463.0
2008-04-18 21:00:00+00:00,5.928,5.973,5.628,5.728,9384.0
2008-04-25 21:00:00+00:00,5.824,6.106,5.801,5.997,5749.0
2008-05-02 21:00:00+00:00,6.033,6.261,5.705,6.164,1329.0
2008-05-09 21:00:00+00:00,6.156,6.184,5.792,5.849,10090.0
2008-05-16 21:00:00+00:00,5.81,6.053,5.763,5.946,14743.0
2008-05-23 21:00:00+00:00,5.994,6.014,5.68,5.949,13123.0
2008-05-30 21:00:00+00:00,5.924,6.587,5.912,6.446,21103.0
2008-06-06 21:00:00+00:00,6.565,7.334,6.512,7.249,24665.0
2008-06-13 21:00:00+00:00,7.481,7.542,7.145,7.162,22043.0
2008-06-20 21:00:00+00:00,7.122,7.624,7.015,7.517,13115.0
2008-06-27 21:00:00+00:00,7.518,7.578,7.014,7.416,3494.0
2008-07-04 21:00:00+00:00,7.29,7.29,6.657,6.802,2193.0
2008-07-11 21:00:00+00:00,6.71,6.71,5.995,6.002,14146.0
2008-07-18 21:00:00+00:00,5.978,6.008,5.366,5.709,13996.0
2008-07-25 21:00:00+00:00,5.774,5.98,5.557,5.589,9725.0
2008-08-01 21:00:00+00:00,5.55,5.592,4.898,4.933,11953.0
2008-08-08 21:00:00+00:00,4.965,5.553,4.814,5.267,10572.0
2008-08-15 21:00:00+00:00,5.419,6.018,5.357,5.831,9303.0
2008-08-22 21:00:00+00:00,5.921,6.058,5.616,5.635,6011.0
2008-08-29 21:00:00+00:00,5.587,5.587,5.258,5.311,1321.0
2008-09-05 21:00:00+00:00,5.401,5.515,5.156,5.515,4828.0
2008-09-12 21:00:00+00:00,5.584,5.643,5.138,5.33,24354.0
2008-09-19 21:00:00+00:00,5.311,5.636,5.254,5.349,20057.0
2008-09-26 21:00:00+00:00,5.319,5.324,4.456,4.479,23396.0
