datetime,open,high,low,close,volume
2011-04-24 21:00:00+00:00,4.395,4.42,4.395,4.42,61.0
2011-04-25 01:00:00+00:00,4.418,4.421,4.408,4.411,33.0
2011-04-25 05:00:00+00:00,4.412,4.422,4.408,4.422,48.0
2011-04-25 09:00:00+00:00,4.42,4.438,4.381,4.384,522.0
2011-04-25 13:00:00+00:00,4.386,4.399,4.338,4.357,1656.0
2011-04-25 17:00:00+00:00,4.355,4.385,4.349,4.372,470.0
2011-04-25 21:00:00+00:00,4.373,4.379,4.355,4.355,36.0
2011-04-26 01:00:00+00:00,4.353,4.354,4.335,4.341,64.0
2011-04-26 05:00:00+00:00,4.343,4.382,4.343,4.382,38.0
2011-04-26 09:00:00+00:00,4.38,4.41,4.364,4.373,382.0
2011-04-26 13:00:00+00:00,4.375,4.383,4.342,4.37,840.0
2011-04-26 17:00:00+00:00,4.367,4.383,4.327,4.372,465.0
2011-04-26 21:00:00+00:00,4.374,4.398,4.374,4.392,42.0
2011-04-27 01:00:00+00:00,4.387,4.389,4.379,4.386,21.0
2011-04-27 05:00:00+00:00,4.387,4.417,4.382,4.417,84.0
2011-04-27 09:00:00+00:00,4.415,4.428,4.367,4.394,544.0
2011-04-27 13:00:00+00:00,4.392,4.395,4.355,4.373,848.0
2011-04-27 17:00:00+00:00,4.375,4.377,4.335,4.341,400.0
2011-04-27 21:00:00+00:00,4.342,4.371,4.334,4.363,55.0
2011-04-28 01:00:00+00:00,4.369,4.376,4.344,4.355,85.0
2011-04-28 05:00:00+00:00,4.353,4.366,4.345,4.355,113.0
2011-04-28 09:00:00+00:00,4.357,4.371,4.345,4.365,322.0
2011-04-28 13:00:00+00:00,4.367,4.524,4.363,4.52,2142.0
2011-04-28 17:00:00+00:00,4.522,4.534,4.499,4.512,678.0
2011-04-28 21:00:00+00:00,4.514,4.521,4.503,4.504,48.0
2011-04-29 01:00:00+00:00,4.502,4.512,4.5,4.505,30.0
2011-04-29 05:00:00+00:00,4.508,4.518,4.504,4.518,50.0
2011-04-29 09:00:00+00:00,4.516,4.559,4.511,4.529,516.0
2011-04-29 13:00:00+00:00,4.531,4.585,4.494,4.581,1391.0
2011-04-29 17:00:00+00:00,4.583,4.642,4.568,4.622,837.0
2011-04-29 21:00:00+00:00,4.619,4.619,4.613,4.619,8.0
2011-05-01 21:00:00+00:00,4.627,4.651,4.593,4.64,164.0
2011-05-02 01:00:00+00:00,4.643,4.646,4.627,4.628,125.0
2011-05-02 05:00:00+00:00,4.632,4.644,4.621,4.63,95.0
2011-05-02 09:00:00+00:00,4.628,4.662,4.581,4.617,712.0
2011-05-02 13:00:00+00:00,4.615,4.671,4.59,4.615,1872.0
2011-05-02 17:00:00+00:00,4.617,4.646,4.588,4.637,609.0
2011-05-02 21:00:00+00:00,4.635,4.639,4.628,4.639,18.0
2011-05-03 01:00:00+00:00,4.636,4.641,4.621,4.638,55.0
2011-05-03 05:00:00+00:00,4.639,4.646,4.63,4.634,54.0
2011-05-03 09:00:00+00:00,4.632,4.66,4.616,4.642,429.0
2011-05-03 13:00:00+00:00,4.644,4.663,4.604,4.638,1089.0
2011-05-03 17:00:00+00:00,4.636,4.638,4.596,4.596,399.0
2011-05-03 21:00:00+00:00,4.598,4.616,4.594,4.594,46.0
2011-05-04 01:00:00+00:00,4.591,4.612,4.589,4.607,36.0
2011-05-04 05:00:00+00:00,4.61,4.622,4.61,4.622,36.0
2011-05-04 09:00:00+00:00,4.624,4.63,4.558,4.572,575.0
2011-05-04 13:00:00+00:00,4.57,4.633,4.565,4.597,1156.0
2011-05-04 17:00:00+00:00,4.595,4.603,4.509,4.511,892.0
2011-05-04 21:00:00+00:00,4.509,4.52,4.501,4.51,24.0
2011-05-05 01:00:00+00:00,4.511,4.515,4.5,4.502,31.0
2011-05-05 05:00:00+00:00,4.504,4.521,4.501,4.501,59.0
2011-05-05 09:00:00+00:00,4.505,4.51,4.469,4.469,423.0
2011-05-05 13:00:00+00:00,4.471,4.48,4.25,4.277,3348.0
2011-05-05 17:00:00+00:00,4.279,4.279,4.164,4.164,813.0
2011-05-05 21:00:00+00:00,4.161,4.211,4.161,4.187,120.0
2011-05-06 01:00:00+00:00,4.189,4.216,4.185,4.19,71.0
2011-05-06 05:00:00+00:00,4.188,4.21,4.176,4.203,153.0
2011-05-06 09:00:00+00:00,4.21,4.253,4.185,4.225,565.0
2011-05-06 13:00:00+00:00,4.223,4.3,4.218,4.219,1364.0
2011-05-06 17:00:00+00:00,4.217,4.233,4.189,4.227,480.0
2011-05-06 21:00:00+00:00,4.225,4.231,4.225,4.229,7.0
2011-05-08 21:00:00+00:00,4.211,4.234,4.203,4.221,61.0
2011-05-09 01:00:00+00:00,4.222,4.248,4.222,4.24,56.0
2011-05-09 05:00:00+00:00,4.241,4.246,4.227,4.232,46.0
2011-05-09 09:00:00+00:00,4.23,4.259,4.208,4.235,423.0
2011-05-09 13:00:00+00:00,4.233,4.241,4.145,4.153,1086.0
2011-05-09 17:00:00+00:00,4.151,4.161,4.113,4.148,590.0
2011-05-09 21:00:00+00:00,4.149,4.169,4.139,4.144,53.0
2011-05-10 01:00:00+00:00,4.145,4.157,4.144,4.146,22.0
2011-05-10 05:00:00+00:00,4.149,4.15,4.131,4.148,75.0
2011-05-10 09:00:00+00:00,4.146,4.176,4.132,4.164,451.0
2011-05-10 13:00:00+00:00,4.162,4.185,4.128,4.152,977.0
2011-05-10 17:00:00+00:00,4.15,4.243,4.146,4.239,639.0
2011-05-10 21:00:00+00:00,4.243,4.247,4.216,4.222,55.0
2011-05-11 01:00:00+00:00,4.224,4.232,4.219,4.226,30.0
2011-05-11 05:00:00+00:00,4.223,4.225,4.203,4.204,61.0
2011-05-11 09:00:00+00:00,4.206,4.258,4.203,4.224,425.0
2011-05-11 13:00:00+00:00,4.226,4.235,4.122,4.129,1099.0
2011-05-11 17:00:00+00:00,4.131,4.216,4.127,4.156,1033.0
2011-05-11 21:00:00+00:00,4.154,4.16,4.149,4.158,26.0
2011-05-12 01:00:00+00:00,4.16,4.16,4.15,4.15,24.0
2011-05-12 05:00:00+00:00,4.148,4.152,4.12,4.122,97.0
2011-05-12 09:00:00+00:00,4.123,4.138,4.079,4.131,408.0
2011-05-12 13:00:00+00:00,4.133,4.205,4.112,4.157,1705.0
2011-05-12 17:00:00+00:00,4.154,4.178,4.139,4.155,393.0
2011-05-12 21:00:00+00:00,4.157,4.174,4.142,4.146,52.0
2011-05-13 01:00:00+00:00,4.143,4.163,4.14,4.153,36.0
