datetime,open,high,low,close,volume
2006-04-28 21:00:00+00:00,6.413,7.002,6.37,6.658,5400.0
2006-05-05 21:00:00+00:00,6.644,6.899,6.145,6.189,5103.0
2006-05-12 21:00:00+00:00,6.116,6.359,5.811,5.915,4801.0
2006-05-19 21:00:00+00:00,5.979,6.39,5.736,5.956,4454.0
2006-05-26 21:00:00+00:00,5.97,6.512,5.821,6.448,4426.0
2006-06-02 21:00:00+00:00,6.562,6.633,5.793,6.022,5631.0
2006-06-09 21:00:00+00:00,6.086,7.224,5.994,7.039,6666.0
2006-06-16 21:00:00+00:00,7.03,7.03,6.122,6.158,4235.0
2006-06-23 21:00:00+00:00,6.029,6.164,5.851,5.918,3836.0
2006-06-30 21:00:00+00:00,5.898,5.945,5.347,5.404,2683.0
2006-07-07 21:00:00+00:00,5.393,6.356,5.283,6.225,4958.0
2006-07-14 21:00:00+00:00,6.242,6.246,5.464,6.109,5098.0
2006-07-21 21:00:00+00:00,6.102,7.209,6.102,7.116,5804.0
2006-07-28 21:00:00+00:00,7.126,8.478,7.017,7.145,8503.0
2006-08-04 21:00:00+00:00,7.146,7.847,6.672,7.145,6168.0
2006-08-11 21:00:00+00:00,7.15,7.15,6.404,6.761,4471.0
2006-08-18 21:00:00+00:00,6.566,7.521,6.417,7.133,5028.0
2006-08-25 21:00:00+00:00,7.136,7.17,5.485,5.618,5955.0
2006-09-01 21:00:00+00:00,5.615,5.894,5.406,5.456,7816.0
2006-09-08 21:00:00+00:00,5.401,5.69,4.541,4.92,13679.0
2006-09-15 21:00:00+00:00,4.93,5.18,4.539,4.576,13020.0
2006-09-22 21:00:00+00:00,4.571,4.571,4.164,4.499,13795.0
2006-09-29 21:00:00+00:00,4.517,5.461,4.461,5.417,18749.0
2006-10-06 21:00:00+00:00,5.449,5.846,4.955,5.044,19451.0
2006-10-13 21:00:00+00:00,5.051,6.88,5.051,6.841,29941.0
2006-10-20 21:00:00+00:00,6.882,7.884,6.556,7.227,29970.0
2006-10-27 21:00:00+00:00,7.231,7.66,6.633,7.435,27277.0
2006-11-03 22:00:00+00:00,7.43,7.908,6.943,7.501,26401.0
2006-11-10 22:00:00+00:00,7.491,8.05,7.347,7.995,27333.0
2006-11-17 22:00:00+00:00,8.004,8.037,7.575,7.883,11507.0
2006-11-24 22:00:00+00:00,7.906,8.703,7.791,8.071,28491.0
2006-12-01 22:00:00+00:00,8.067,8.073,7.274,7.337,24104.0
2006-12-08 22:00:00+00:00,7.332,7.766,7.049,7.293,20822.0
2006-12-15 22:00:00+00:00,7.307,7.308,6.468,6.504,15203.0
2006-12-22 22:00:00+00:00,6.505,6.505,5.856,6.114,8970.0
2006-12-29 22:00:00+00:00,6.11,6.277,5.88,6.076,13200.0
2007-01-05 22:00:00+00:00,6.078,6.672,6.078,6.523,26995.0
