datetime,open,high,low,close,volume
2006-04-24 21:00:00+00:00,5.75,5.812,5.721,5.807,1009.0
2006-04-25 21:00:00+00:00,5.798,5.814,5.75,5.77,1136.0
2006-04-26 21:00:00+00:00,5.765,5.786,5.703,5.786,1304.0
2006-04-27 21:00:00+00:00,5.774,6.003,5.767,5.886,1919.0
2006-04-30 21:00:00+00:00,5.921,6.003,5.91,5.944,1472.0
2006-05-01 21:00:00+00:00,5.935,6.005,5.887,5.912,1734.0
2006-05-02 21:00:00+00:00,5.936,5.962,5.896,5.933,1184.0
2006-05-03 21:00:00+00:00,5.909,5.973,5.906,5.925,1147.0
2006-05-04 21:00:00+00:00,5.935,6.029,5.93,5.951,1288.0
2006-05-07 21:00:00+00:00,5.94,6.004,5.857,5.889,1201.0
2006-05-08 21:00:00+00:00,5.892,6.006,5.892,5.938,1282.0
2006-05-09 21:00:00+00:00,5.96,6.012,5.94,5.959,1288.0
2006-05-10 21:00:00+00:00,5.949,6.064,5.915,6.02,1473.0
2006-05-11 21:00:00+00:00,6.017,6.095,5.977,6.036,1635.0
2006-05-14 21:00:00+00:00,6.049,6.069,5.913,5.947,1173.0
2006-05-15 21:00:00+00:00,5.94,5.954,5.855,5.929,1148.0
2006-05-16 21:00:00+00:00,5.937,6.01,5.906,5.941,1391.0
2006-05-17 21:00:00+00:00,5.946,5.949,5.854,5.883,1087.0
2006-05-18 21:00:00+00:00,5.886,5.891,5.767,5.777,1123.0
2006-05-21 21:00:00+00:00,5.82,5.824,5.726,5.742,1325.0
2006-05-22 21:00:00+00:00,5.752,5.803,5.74,5.783,1096.0
2006-05-23 21:00:00+00:00,5.771,5.808,5.72,5.75,1120.0
2006-05-24 21:00:00+00:00,5.74,5.766,5.723,5.761,879.0
2006-05-25 21:00:00+00:00,5.764,5.802,5.743,5.753,938.0
2006-05-29 21:00:00+00:00,5.748,5.804,5.716,5.767,1119.0
2006-05-30 21:00:00+00:00,5.76,5.777,5.706,5.721,978.0
2006-05-31 21:00:00+00:00,5.734,5.81,5.681,5.792,1312.0
2006-06-01 21:00:00+00:00,5.795,6.031,5.763,6.021,1688.0
2006-06-04 21:00:00+00:00,5.978,6.046,5.942,5.972,1123.0
2006-06-05 21:00:00+00:00,5.967,5.988,5.869,5.872,1337.0
2006-06-06 21:00:00+00:00,5.875,5.95,5.841,5.906,1245.0
2006-06-07 21:00:00+00:00,5.901,5.911,5.803,5.823,982.0
2006-06-08 21:00:00+00:00,5.814,5.869,5.78,5.805,1173.0
2006-06-11 21:00:00+00:00,5.915,5.998,5.888,5.953,1682.0
2006-06-12 21:00:00+00:00,5.951,5.98,5.885,5.91,1322.0
2006-06-13 21:00:00+00:00,5.926,5.957,5.843,5.853,1226.0
2006-06-14 21:00:00+00:00,5.855,5.933,5.855,5.886,663.0
2006-06-15 21:00:00+00:00,5.899,5.96,5.887,5.96,515.0
2006-06-18 21:00:00+00:00,5.911,5.914,5.786,5.806,705.0
2006-06-19 21:00:00+00:00,5.811,5.829,5.782,5.817,405.0
2006-06-20 21:00:00+00:00,5.81,5.854,5.803,5.824,380.0
2006-06-21 21:00:00+00:00,5.842,5.86,5.771,5.796,328.0
2006-06-22 21:00:00+00:00,5.794,5.807,5.768,5.773,369.0
2006-06-25 21:00:00+00:00,5.781,5.781,5.638,5.67,536.0
2006-06-26 21:00:00+00:00,5.663,5.779,5.663,5.754,457.0
2006-06-27 21:00:00+00:00,5.752,5.805,5.718,5.756,556.0
2006-06-28 21:00:00+00:00,5.748,5.827,5.746,5.797,481.0
2006-06-29 21:00:00+00:00,5.82,5.996,5.82,5.927,485.0
2006-07-02 21:00:00+00:00,6.02,6.04,5.949,6.016,526.0
2006-07-04 21:00:00+00:00,6.063,6.083,5.906,5.945,508.0
2006-07-05 21:00:00+00:00,5.936,6.103,5.933,6.066,649.0
2006-07-06 21:00:00+00:00,6.071,6.083,5.941,5.998,552.0
2006-07-09 21:00:00+00:00,6.066,6.106,5.968,6.023,645.0
2006-07-10 21:00:00+00:00,6.051,6.133,6.015,6.044,756.0
2006-07-11 21:00:00+00:00,6.035,6.085,5.954,6.016,594.0
2006-07-12 21:00:00+00:00,5.997,6.013,5.938,5.944,421.0
2006-07-13 21:00:00+00:00,5.924,6.024,5.904,5.97,466.0
2006-07-16 21:00:00+00:00,5.941,5.965,5.851,5.861,413.0
2006-07-17 21:00:00+00:00,5.864,5.886,5.817,5.843,377.0
2006-07-18 21:00:00+00:00,5.848,5.858,5.759,5.817,401.0
2006-07-19 21:00:00+00:00,5.81,5.853,5.781,5.801,336.0
2006-07-20 21:00:00+00:00,5.804,5.811,5.718,5.733,365.0
2006-07-23 21:00:00+00:00,5.746,5.817,5.717,5.8,366.0
2006-07-24 21:00:00+00:00,5.813,5.896,5.801,5.824,371.0
2006-07-25 21:00:00+00:00,5.837,5.854,5.775,5.786,333.0
2006-07-26 21:00:00+00:00,5.784,5.812,5.683,5.723,323.0
2006-07-27 21:00:00+00:00,5.718,5.759,5.718,5.739,319.0
2006-07-30 21:00:00+00:00,5.765,5.781,5.667,5.721,426.0
2006-07-31 21:00:00+00:00,5.719,5.734,5.663,5.663,423.0
2006-08-01 21:00:00+00:00,5.678,5.81,5.678,5.746,465.0
2006-08-02 21:00:00+00:00,5.737,5.737,5.68,5.695,298.0
2006-08-03 21:00:00+00:00,5.706,5.758,5.678,5.703,277.0
2006-08-06 21:00:00+00:00,5.663,5.663,5.559,5.569,343.0
2006-08-07 21:00:00+00:00,5.565,5.584,5.498,5.52,316.0
2006-08-08 21:00:00+00:00,5.524,5.575,5.524,5.563,195.0
2006-08-09 21:00:00+00:00,5.566,5.577,5.509,5.509,271.0
2006-08-10 21:00:00+00:00,5.512,5.541,5.428,5.457,417.0
2006-08-13 21:00:00+00:00,5.414,5.48,5.409,5.476,321.0
2006-08-14 21:00:00+00:00,5.479,5.498,5.456,5.486,202.0
2006-08-15 21:00:00+00:00,5.469,5.523,5.434,5.434,246.0
2006-08-16 21:00:00+00:00,5.513,5.533,5.475,5.511,1161.0
2006-08-17 21:00:00+00:00,5.504,5.521,5.461,5.464,1064.0
2006-08-20 21:00:00+00:00,5.462,5.495,5.455,5.478,894.0
2006-08-21 21:00:00+00:00,5.481,5.504,5.472,5.502,799.0
2006-08-22 21:00:00+00:00,5.5,5.562,5.493,5.54,1158.0
2006-08-23 21:00:00+00:00,5.533,5.568,5.49,5.519,1160.0
2006-08-24 21:00:00+00:00,5.515,5.526,5.433,5.445,1315.0
2006-08-27 21:00:00+00:00,5.431,5.451,5.393,5.403,1158.0
2006-08-28 21:00:00+00:00,5.399,5.434,5.39,5.397,964.0
2006-08-29 21:00:00+00:00,5.393,5.453,5.379,5.44,1433.0
2006-08-30 21:00:00+00:00,5.436,5.466,5.398,5.442,1288.0
2006-08-31 21:00:00+00:00,5.447,5.458,5.402,5.404,796.0
2006-09-04 21:00:00+00:00,5.399,5.533,5.355,5.44,2147.0
2006-09-05 21:00:00+00:00,5.435,5.48,5.358,5.363,1339.0
2006-09-06 21:00:00+00:00,5.361,5.428,5.332,5.403,1644.0
2006-09-07 21:00:00+00:00,5.396,5.456,5.375,5.383,1364.0
2006-09-10 21:00:00+00:00,5.393,5.398,5.326,5.35,1240.0
2006-09-11 21:00:00+00:00,5.343,5.401,5.283,5.29,1556.0
2006-09-12 21:00:00+00:00,5.293,5.353,5.276,5.312,1271.0
2006-09-13 21:00:00+00:00,5.314,5.384,5.314,5.362,1303.0
2006-09-14 21:00:00+00:00,5.355,5.489,5.339,5.413,2001.0
2006-09-17 21:00:00+00:00,5.468,5.494,5.425,5.444,1555.0
2006-09-18 21:00:00+00:00,5.44,5.465,5.352,5.357,1569.0
2006-09-19 21:00:00+00:00,5.355,5.435,5.343,5.41,1640.0
2006-09-20 21:00:00+00:00,5.416,5.535,5.408,5.496,1767.0
2006-09-21 21:00:00+00:00,5.489,5.502,5.406,5.416,1593.0
2006-09-24 21:00:00+00:00,5.414,5.417,5.322,5.376,1694.0
2006-09-25 21:00:00+00:00,5.371,5.432,5.369,5.392,1561.0
2006-09-26 21:00:00+00:00,5.39,5.416,5.349,5.357,1365.0
2006-09-27 21:00:00+00:00,5.36,5.469,5.351,5.455,2286.0
2006-09-28 21:00:00+00:00,5.45,5.48,5.387,5.412,2138.0
2006-10-01 21:00:00+00:00,5.407,5.483,5.384,5.389,1886.0
2006-10-02 21:00:00+00:00,5.387,5.387,5.343,5.368,1095.0
