datetime,open,high,low,close,volume
2006-04-28 21:00:00+00:00,5.921,6.029,5.887,5.951,6825.0
2006-05-05 21:00:00+00:00,5.94,6.095,5.857,6.036,6879.0
2006-05-12 21:00:00+00:00,6.049,6.069,5.767,5.777,5922.0
2006-05-19 21:00:00+00:00,5.82,5.824,5.72,5.753,5358.0
2006-05-26 21:00:00+00:00,5.748,6.031,5.681,6.021,5097.0
2006-06-02 21:00:00+00:00,5.978,6.046,5.78,5.805,5860.0
2006-06-09 21:00:00+00:00,5.915,5.998,5.843,5.96,5408.0
2006-06-16 21:00:00+00:00,5.911,5.914,5.768,5.773,2187.0
2006-06-23 21:00:00+00:00,5.781,5.996,5.638,5.927,2515.0
2006-06-30 21:00:00+00:00,6.02,6.103,5.906,5.998,2235.0
2006-07-07 21:00:00+00:00,6.066,6.133,5.904,5.97,2882.0
2006-07-14 21:00:00+00:00,5.941,5.965,5.718,5.733,1892.0
2006-07-21 21:00:00+00:00,5.746,5.896,5.683,5.739,1712.0
2006-07-28 21:00:00+00:00,5.765,5.81,5.663,5.703,1889.0
2006-08-04 21:00:00+00:00,5.663,5.663,5.428,5.457,1542.0
2006-08-11 21:00:00+00:00,5.414,5.533,5.409,5.464,2994.0
2006-08-18 21:00:00+00:00,5.462,5.568,5.433,5.445,5326.0
2006-08-25 21:00:00+00:00,5.431,5.466,5.379,5.404,5639.0
2006-09-01 21:00:00+00:00,5.399,5.533,5.332,5.383,6494.0
2006-09-08 21:00:00+00:00,5.393,5.489,5.276,5.413,7371.0
2006-09-15 21:00:00+00:00,5.468,5.535,5.343,5.416,8124.0
2006-09-22 21:00:00+00:00,5.414,5.48,5.322,5.412,9044.0
2006-09-29 21:00:00+00:00,5.407,5.642,5.343,5.588,11270.0
2006-10-06 21:00:00+00:00,5.574,5.896,5.535,5.866,13554.0
2006-10-13 21:00:00+00:00,5.843,6.096,5.808,6.027,12359.0
2006-10-20 21:00:00+00:00,6.067,6.43,6.034,6.374,14021.0
2006-10-27 21:00:00+00:00,6.36,6.712,6.308,6.525,17609.0
2006-11-03 22:00:00+00:00,6.499,6.729,6.457,6.535,15526.0
