datetime,open,high,low,close,volume
2006-04-24 21:00:00+00:00,3.497,3.522,3.467,3.487,196.0
2006-04-25 21:00:00+00:00,3.492,3.532,3.467,3.48,214.0
2006-04-26 21:00:00+00:00,3.473,3.478,3.393,3.423,185.0
2006-04-27 21:00:00+00:00,3.423,3.463,3.389,3.454,82.0
2006-04-30 21:00:00+00:00,3.485,3.555,3.485,3.525,38.0
2006-05-01 21:00:00+00:00,3.562,3.583,3.525,3.533,17.0
2006-05-02 21:00:00+00:00,3.546,3.546,3.506,3.506,6.0
2006-05-03 21:00:00+00:00,3.534,3.541,3.511,3.526,7.0
2006-05-04 21:00:00+00:00,3.667,3.667,3.607,3.607,8.0
2006-05-07 21:00:00+00:00,3.638,3.638,3.558,3.623,12.0
2006-05-08 21:00:00+00:00,3.694,3.759,3.694,3.754,10.0
2006-05-09 21:00:00+00:00,3.759,3.779,3.759,3.764,4.0
2006-05-10 21:00:00+00:00,3.729,3.827,3.729,3.818,60.0
2006-05-11 21:00:00+00:00,3.821,4.009,3.816,3.922,1249.0
2006-05-14 21:00:00+00:00,3.932,3.964,3.865,3.902,973.0
2006-05-15 21:00:00+00:00,3.897,3.947,3.861,3.947,1053.0
2006-05-16 21:00:00+00:00,3.958,4.144,3.943,4.144,1196.0
2006-05-17 21:00:00+00:00,4.135,4.175,4.087,4.087,1190.0
2006-05-18 21:00:00+00:00,4.093,4.094,3.994,4.069,1090.0
2006-05-21 21:00:00+00:00,4.1,4.192,4.005,4.172,1247.0
2006-05-22 21:00:00+00:00,4.178,4.242,4.096,4.105,1296.0
2006-05-23 21:00:00+00:00,4.096,4.112,4.001,4.033,1032.0
2006-05-24 21:00:00+00:00,4.029,4.069,3.966,4.015,1007.0
2006-05-25 21:00:00+00:00,4.023,4.13,4.021,4.076,908.0
2006-05-29 21:00:00+00:00,4.101,4.18,4.023,4.048,1173.0
2006-05-30 21:00:00+00:00,4.051,4.061,3.853,3.863,1058.0
2006-05-31 21:00:00+00:00,3.875,3.913,3.825,3.854,973.0
2006-06-01 21:00:00+00:00,3.884,3.974,3.86,3.974,898.0
2006-06-04 21:00:00+00:00,3.953,4.008,3.92,3.92,708.0
2006-06-05 21:00:00+00:00,3.93,3.937,3.773,3.778,968.0
2006-06-06 21:00:00+00:00,3.789,3.854,3.745,3.824,983.0
2006-06-07 21:00:00+00:00,3.82,3.833,3.771,3.781,873.0
2006-06-08 21:00:00+00:00,3.782,3.852,3.66,3.669,953.0
2006-06-11 21:00:00+00:00,3.707,3.748,3.684,3.699,733.0
2006-06-12 21:00:00+00:00,3.696,3.727,3.64,3.655,804.0
2006-06-13 21:00:00+00:00,3.661,3.684,3.563,3.563,850.0
2006-06-14 21:00:00+00:00,3.573,3.616,3.564,3.569,375.0
2006-06-15 21:00:00+00:00,3.575,3.615,3.546,3.561,344.0
2006-06-18 21:00:00+00:00,3.549,3.585,3.53,3.555,317.0
2006-06-19 21:00:00+00:00,3.558,3.641,3.558,3.636,330.0
2006-06-20 21:00:00+00:00,3.636,3.714,3.614,3.692,256.0
2006-06-21 21:00:00+00:00,3.697,3.698,3.619,3.619,204.0
2006-06-22 21:00:00+00:00,3.624,3.66,3.6,3.601,185.0
2006-06-25 21:00:00+00:00,3.594,3.664,3.577,3.664,218.0
2006-06-26 21:00:00+00:00,3.655,3.78,3.655,3.755,219.0
2006-06-27 21:00:00+00:00,3.756,3.757,3.677,3.707,152.0
2006-06-28 21:00:00+00:00,3.685,3.733,3.655,3.719,186.0
2006-06-29 21:00:00+00:00,3.716,3.779,3.68,3.7,135.0
2006-07-02 21:00:00+00:00,3.698,3.834,3.696,3.834,43.0
2006-07-04 21:00:00+00:00,3.861,3.862,3.797,3.857,24.0
2006-07-05 21:00:00+00:00,3.858,3.898,3.838,3.868,25.0
2006-07-06 21:00:00+00:00,3.886,3.889,3.8,3.805,18.0
2006-07-09 21:00:00+00:00,3.838,3.854,3.804,3.82,15.0
2006-07-10 21:00:00+00:00,3.875,3.946,3.796,3.946,38.0
2006-07-11 21:00:00+00:00,3.996,3.996,3.867,3.878,28.0
2006-07-12 21:00:00+00:00,3.908,3.908,3.716,3.716,73.0
2006-07-13 21:00:00+00:00,3.727,3.762,3.682,3.746,751.0
2006-07-16 21:00:00+00:00,3.747,3.806,3.712,3.712,771.0
2006-07-17 21:00:00+00:00,3.732,3.782,3.701,3.768,805.0
2006-07-18 21:00:00+00:00,3.754,3.764,3.681,3.715,779.0
2006-07-19 21:00:00+00:00,3.706,3.874,3.699,3.874,1012.0
2006-07-20 21:00:00+00:00,3.84,3.925,3.831,3.855,814.0
2006-07-23 21:00:00+00:00,3.856,3.861,3.795,3.804,728.0
2006-07-24 21:00:00+00:00,3.81,3.86,3.741,3.751,794.0
2006-07-25 21:00:00+00:00,3.761,3.772,3.64,3.659,697.0
2006-07-26 21:00:00+00:00,3.655,3.729,3.646,3.701,750.0
2006-07-27 21:00:00+00:00,3.699,3.733,3.68,3.714,479.0
2006-07-30 21:00:00+00:00,3.727,3.83,3.72,3.792,698.0
2006-07-31 21:00:00+00:00,3.8,3.81,3.755,3.762,791.0
2006-08-01 21:00:00+00:00,3.768,3.871,3.768,3.854,925.0
2006-08-02 21:00:00+00:00,3.853,3.894,3.788,3.791,797.0
2006-08-03 21:00:00+00:00,3.806,3.864,3.799,3.804,569.0
2006-08-06 21:00:00+00:00,3.8,3.817,3.764,3.791,571.0
2006-08-07 21:00:00+00:00,3.782,3.795,3.693,3.711,879.0
2006-08-08 21:00:00+00:00,3.707,3.76,3.695,3.748,536.0
2006-08-09 21:00:00+00:00,3.749,3.765,3.722,3.735,517.0
2006-08-10 21:00:00+00:00,3.738,3.764,3.61,3.615,764.0
2006-08-13 21:00:00+00:00,3.623,3.677,3.589,3.64,532.0
2006-08-14 21:00:00+00:00,3.626,3.68,3.624,3.668,338.0
2006-08-15 21:00:00+00:00,3.656,3.71,3.608,3.618,306.0
2006-08-16 21:00:00+00:00,3.616,3.65,3.529,3.544,360.0
2006-08-17 21:00:00+00:00,3.542,3.57,3.481,3.552,383.0
2006-08-20 21:00:00+00:00,3.555,3.595,3.548,3.572,242.0
2006-08-21 21:00:00+00:00,3.57,3.589,3.507,3.527,281.0
2006-08-22 21:00:00+00:00,3.518,3.618,3.518,3.596,333.0
2006-08-23 21:00:00+00:00,3.58,3.681,3.58,3.681,286.0
2006-08-24 21:00:00+00:00,3.674,3.804,3.667,3.716,488.0
2006-08-27 21:00:00+00:00,3.727,3.82,3.727,3.786,350.0
2006-08-28 21:00:00+00:00,3.787,3.81,3.743,3.743,298.0
2006-08-29 21:00:00+00:00,3.756,3.924,3.749,3.914,321.0
2006-08-30 21:00:00+00:00,3.927,3.997,3.903,3.997,199.0
2006-08-31 21:00:00+00:00,3.962,3.983,3.926,3.966,81.0
2006-09-04 21:00:00+00:00,4.003,4.065,4.002,4.026,47.0
2006-09-05 21:00:00+00:00,4.0,4.01,3.951,3.956,18.0
2006-09-06 21:00:00+00:00,3.975,4.007,3.934,4.007,13.0
2006-09-07 21:00:00+00:00,4.039,4.039,3.986,3.998,13.0
