datetime,open,high,low,close,volume
2006-04-28 21:00:00+00:00,3.485,3.667,3.485,3.607,76.0
2006-05-05 21:00:00+00:00,3.638,4.009,3.558,3.922,1335.0
2006-05-12 21:00:00+00:00,3.932,4.175,3.861,4.069,5502.0
2006-05-19 21:00:00+00:00,4.1,4.242,3.966,4.076,5490.0
2006-05-26 21:00:00+00:00,4.101,4.18,3.825,3.974,4102.0
2006-06-02 21:00:00+00:00,3.953,4.008,3.66,3.669,4485.0
2006-06-09 21:00:00+00:00,3.707,3.748,3.546,3.561,3106.0
2006-06-16 21:00:00+00:00,3.549,3.714,3.53,3.601,1292.0
2006-06-23 21:00:00+00:00,3.594,3.78,3.577,3.7,910.0
2006-06-30 21:00:00+00:00,3.698,3.898,3.696,3.805,110.0
2006-07-07 21:00:00+00:00,3.838,3.996,3.682,3.746,905.0
2006-07-14 21:00:00+00:00,3.747,3.925,3.681,3.855,4181.0
2006-07-21 21:00:00+00:00,3.856,3.861,3.64,3.714,3448.0
2006-07-28 21:00:00+00:00,3.727,3.894,3.72,3.804,3780.0
2006-08-04 21:00:00+00:00,3.8,3.817,3.61,3.615,3267.0
2006-08-11 21:00:00+00:00,3.623,3.71,3.481,3.552,1919.0
2006-08-18 21:00:00+00:00,3.555,3.804,3.507,3.716,1630.0
2006-08-25 21:00:00+00:00,3.727,3.997,3.727,3.966,1249.0
2006-09-01 21:00:00+00:00,4.003,4.065,3.934,3.998,91.0
2006-09-08 21:00:00+00:00,3.973,3.993,3.806,3.868,2477.0
2006-09-15 21:00:00+00:00,3.884,4.16,3.857,4.129,5491.0
2006-09-22 21:00:00+00:00,4.113,4.46,4.048,4.383,7401.0
2006-09-29 21:00:00+00:00,4.385,4.798,4.291,4.594,9687.0
2006-10-06 21:00:00+00:00,4.611,5.438,4.601,5.181,10768.0
2006-10-13 21:00:00+00:00,5.188,5.496,4.97,5.01,9352.0
2006-10-20 21:00:00+00:00,5.012,5.356,4.939,5.042,9654.0
2006-10-27 21:00:00+00:00,5.024,5.089,4.732,4.888,8406.0
2006-11-03 22:00:00+00:00,4.917,5.148,4.748,4.773,7521.0
2006-11-10 22:00:00+00:00,4.76,4.937,4.625,4.715,6240.0
2006-11-17 22:00:00+00:00,4.747,4.99,4.695,4.981,2147.0
2006-11-24 22:00:00+00:00,4.995,5.063,4.776,4.987,1530.0
2006-12-01 22:00:00+00:00,4.972,4.983,4.675,4.677,236.0
2006-12-08 22:00:00+00:00,4.7,4.811,4.647,4.784,2387.0
2006-12-15 22:00:00+00:00,4.799,5.006,4.674,5.002,5436.0
2006-12-22 22:00:00+00:00,5.023,5.077,4.819,4.872,3940.0
2006-12-29 22:00:00+00:00,4.859,4.871,4.513,4.589,4812.0
2007-01-05 22:00:00+00:00,4.595,4.764,4.379,4.681,8110.0
2007-01-12 22:00:00+00:00,4.706,4.759,4.536,4.579,7900.0
2007-01-19 22:00:00+00:00,4.573,4.741,4.535,4.561,6735.0
2007-01-26 22:00:00+00:00,4.579,4.654,4.468,4.56,5858.0
2007-02-02 22:00:00+00:00,4.568,4.652,4.437,4.566,5989.0
2007-02-09 22:00:00+00:00,4.577,4.664,4.437,4.639,4919.0
2007-02-16 22:00:00+00:00,4.646,4.872,4.593,4.814,2614.0
2007-02-23 22:00:00+00:00,4.82,4.913,4.524,4.582,1393.0
2007-03-02 22:00:00+00:00,4.593,4.698,4.521,4.678,102.0
2007-03-09 22:00:00+00:00,4.652,4.655,4.438,4.515,4684.0
2007-03-16 21:00:00+00:00,4.546,4.607,4.429,4.529,5559.0
2007-03-23 21:00:00+00:00,4.538,4.608,4.25,4.317,6842.0
2007-03-30 21:00:00+00:00,4.271,4.437,4.058,4.393,7107.0
2007-04-06 21:00:00+00:00,4.492,4.801,4.365,4.739,9990.0
2007-04-13 21:00:00+00:00,4.709,5.095,4.669,4.972,5098.0
2007-04-20 21:00:00+00:00,4.991,5.163,4.761,4.99,2120.0
2007-04-27 21:00:00+00:00,4.835,4.96,4.663,4.783,315.0
2007-05-04 21:00:00+00:00,4.811,4.87,4.67,4.855,350.0
2007-05-11 21:00:00+00:00,4.819,4.993,4.628,4.645,8215.0
2007-05-18 21:00:00+00:00,4.643,4.958,4.614,4.948,7191.0
2007-05-25 21:00:00+00:00,4.93,5.244,4.825,5.155,7867.0
2007-06-01 21:00:00+00:00,5.144,5.304,5.094,5.237,9719.0
2007-06-08 21:00:00+00:00,5.305,6.138,5.29,6.016,15498.0
2007-06-15 21:00:00+00:00,6.037,6.122,5.745,5.866,9977.0
2007-06-22 21:00:00+00:00,5.897,6.311,5.783,5.798,3646.0
2007-06-29 21:00:00+00:00,5.814,5.989,5.61,5.959,483.0
2007-07-06 21:00:00+00:00,6.01,6.151,5.874,6.117,1932.0
2007-07-13 21:00:00+00:00,6.033,6.302,5.913,6.112,12252.0
2007-07-20 21:00:00+00:00,6.088,6.565,6.038,6.453,10955.0
2007-07-27 21:00:00+00:00,6.476,6.483,6.138,6.428,9626.0
2007-08-03 21:00:00+00:00,6.412,6.906,6.355,6.595,10508.0
2007-08-10 21:00:00+00:00,6.68,6.979,6.505,6.692,7426.0
2007-08-17 21:00:00+00:00,6.661,7.373,6.596,7.241,3929.0
2007-08-24 21:00:00+00:00,7.227,7.91,7.113,7.599,2524.0
2007-08-31 21:00:00+00:00,7.821,8.533,7.814,8.387,1131.0
2007-09-07 21:00:00+00:00,8.362,8.874,8.13,8.335,3969.0
2007-09-14 21:00:00+00:00,8.393,8.817,8.245,8.603,17731.0
2007-09-21 21:00:00+00:00,8.616,9.469,8.564,9.255,19737.0
2007-09-28 21:00:00+00:00,9.39,9.448,8.755,8.785,20292.0
2007-10-05 21:00:00+00:00,8.745,8.786,8.239,8.482,16644.0
2007-10-12 21:00:00+00:00,8.456,8.523,8.058,8.459,15941.0
2007-10-19 21:00:00+00:00,8.46,8.688,7.823,7.951,15744.0
