datetime,open,high,low,close,volume
2006-04-24 21:00:00+00:00,85.32,85.77,85.08,85.67,12907.0
2006-04-25 21:00:00+00:00,85.67,86.57,85.415,86.36,14785.0
2006-04-26 21:00:00+00:00,86.37,86.52,85.79,86.31,13598.0
2006-04-27 21:00:00+00:00,86.32,86.67,86.05,86.455,13417.0
2006-04-29 21:00:00+00:00,86.445,86.555,86.205,86.265,456.0
2006-04-30 21:00:00+00:00,86.255,86.38,85.75,86.13,12928.0
2006-05-01 21:00:00+00:00,86.1,86.58,85.88,86.33,13678.0
2006-05-02 21:00:00+00:00,86.32,87.64,86.14,87.57,14292.0
2006-05-03 21:00:00+00:00,87.58,87.76,87.19,87.73,13596.0
2006-05-04 21:00:00+00:00,87.73,87.81,86.52,86.975,12966.0
2006-05-06 21:00:00+00:00,86.605,86.735,86.525,86.555,676.0
2006-05-07 21:00:00+00:00,86.545,86.72,85.64,85.82,13699.0
2006-05-08 21:00:00+00:00,85.81,86.12,85.27,85.92,14476.0
2006-05-09 21:00:00+00:00,85.91,86.05,85.23,85.6,23082.0
2006-05-10 21:00:00+00:00,85.6,86.17,85.36,85.9,34320.0
2006-05-11 21:00:00+00:00,85.88,86.0,84.78,85.015,34651.0
2006-05-12 21:00:00+00:00,85.035,85.035,85.035,85.035,1.0
2006-05-13 21:00:00+00:00,85.045,85.045,84.815,84.885,831.0
2006-05-14 21:00:00+00:00,84.895,84.955,83.63,84.06,36977.0
2006-05-15 21:00:00+00:00,84.06,84.54,83.82,84.23,33661.0
2006-05-16 21:00:00+00:00,84.23,84.4,83.69,84.16,36720.0
2006-05-17 21:00:00+00:00,84.15,85.1,84.01,84.7,34694.0
2006-05-18 21:00:00+00:00,84.7,85.26,84.21,84.675,34446.0
2006-05-20 21:00:00+00:00,84.795,84.805,84.485,84.545,525.0
2006-05-21 21:00:00+00:00,84.545,84.615,83.76,84.09,34465.0
2006-05-22 21:00:00+00:00,84.09,84.55,83.57,84.19,32382.0
2006-05-23 21:00:00+00:00,84.19,85.02,83.96,85.0,42076.0
2006-05-24 21:00:00+00:00,84.98,85.2,84.63,84.96,30291.0
2006-05-25 21:00:00+00:00,84.96,85.51,84.8,85.345,29875.0
2006-05-27 21:00:00+00:00,85.275,85.295,85.085,85.165,149.0
2006-05-28 21:00:00+00:00,85.155,85.51,85.06,85.3,11558.0
2006-05-29 21:00:00+00:00,85.3,85.81,85.18,85.53,31522.0
2006-05-30 21:00:00+00:00,85.53,85.65,84.36,84.71,32029.0
2006-05-31 21:00:00+00:00,84.71,84.81,83.95,84.15,31320.0
2006-06-01 21:00:00+00:00,84.15,84.46,83.53,84.035,28725.0
2006-06-02 21:00:00+00:00,84.005,84.005,84.005,84.005,1.0
2006-06-03 21:00:00+00:00,83.875,84.035,83.835,83.925,328.0
2006-06-04 21:00:00+00:00,83.935,84.22,83.5,83.97,24739.0
2006-06-05 21:00:00+00:00,83.98,84.37,83.64,83.9,28879.0
2006-06-06 21:00:00+00:00,83.89,84.19,83.7,84.13,25513.0
2006-06-07 21:00:00+00:00,84.12,85.32,84.05,84.63,33187.0
2006-06-08 21:00:00+00:00,84.64,85.445,84.45,85.255,28802.0
2006-06-10 21:00:00+00:00,85.255,85.525,85.025,85.365,286.0
2006-06-11 21:00:00+00:00,85.365,85.66,85.2,85.32,21908.0
2006-06-12 21:00:00+00:00,85.32,85.59,84.6,85.1,32352.0
2006-06-13 21:00:00+00:00,85.11,85.16,84.59,84.76,28448.0
2006-06-14 21:00:00+00:00,84.76,85.31,84.61,85.24,25684.0
2006-06-15 21:00:00+00:00,85.24,85.44,84.86,85.015,24803.0
2006-06-17 21:00:00+00:00,84.985,85.105,84.925,85.045,260.0
2006-06-18 21:00:00+00:00,85.045,85.39,84.86,85.07,20362.0
2006-06-19 21:00:00+00:00,85.07,85.22,84.69,84.77,23212.0
2006-06-20 21:00:00+00:00,84.78,84.99,84.36,84.98,21824.0
2006-06-21 21:00:00+00:00,84.98,85.34,84.79,85.22,24513.0
2006-06-22 21:00:00+00:00,85.21,85.345,84.9,85.295,25001.0
2006-06-23 21:00:00+00:00,85.285,85.285,85.285,85.285,2.0
2006-06-24 21:00:00+00:00,85.275,85.335,85.165,85.215,307.0
2006-06-25 21:00:00+00:00,85.215,85.45,84.9,85.16,20914.0
2006-06-26 21:00:00+00:00,85.16,85.49,85.06,85.19,24118.0
2006-06-27 21:00:00+00:00,85.19,85.24,84.6,84.95,21885.0
2006-06-28 21:00:00+00:00,84.93,85.15,84.63,85.08,24847.0
2006-06-29 21:00:00+00:00,85.08,85.32,84.87,85.015,28764.0
2006-07-01 21:00:00+00:00,85.035,85.095,84.965,85.035,374.0
2006-07-02 21:00:00+00:00,85.025,85.5,84.825,85.12,24135.0
2006-07-03 21:00:00+00:00,85.12,85.61,85.08,85.525,17052.0
2006-07-04 21:00:00+00:00,85.515,85.94,85.41,85.83,28633.0
2006-07-05 21:00:00+00:00,85.83,85.98,85.53,85.94,22641.0
2006-07-06 21:00:00+00:00,85.94,86.18,85.5,85.665,24243.0
2006-07-07 21:00:00+00:00,85.675,85.675,85.675,85.675,1.0
2006-07-08 21:00:00+00:00,85.855,85.855,85.595,85.695,330.0
2006-07-09 21:00:00+00:00,85.695,85.745,85.08,85.31,23701.0
2006-07-10 21:00:00+00:00,85.3,86.05,85.29,86.02,22789.0
2006-07-11 21:00:00+00:00,86.02,87.03,85.85,86.84,24852.0
2006-07-12 21:00:00+00:00,86.84,87.27,86.7,87.03,23230.0
2006-07-13 21:00:00+00:00,87.03,87.8,86.74,87.445,27264.0
2006-07-15 21:00:00+00:00,87.485,87.545,87.365,87.495,599.0
2006-07-16 21:00:00+00:00,87.515,87.85,87.34,87.64,21892.0
2006-07-17 21:00:00+00:00,87.66,88.07,87.3,87.57,25688.0
2006-07-18 21:00:00+00:00,87.56,87.72,87.25,87.65,26342.0
2006-07-19 21:00:00+00:00,87.63,87.96,87.4,87.88,25362.0
2006-07-20 21:00:00+00:00,87.88,87.95,87.18,87.395,23885.0
2006-07-22 21:00:00+00:00,87.4,87.685,87.335,87.425,555.0
2006-07-23 21:00:00+00:00,87.425,88.19,87.365,88.05,20059.0
2006-07-24 21:00:00+00:00,88.05,88.38,87.91,88.31,22934.0
2006-07-25 21:00:00+00:00,88.31,88.89,88.13,88.58,26065.0
2006-07-26 21:00:00+00:00,88.58,88.64,88.07,88.33,29397.0
2006-07-27 21:00:00+00:00,88.35,88.48,87.74,87.995,29044.0
2006-07-28 21:00:00+00:00,88.005,88.005,87.995,87.995,2.0
2006-07-29 21:00:00+00:00,87.965,88.045,87.805,87.995,476.0
