datetime,open,high,low,close,volume
2024-04-19 09:15:00+00:00,91.005,91.094,90.992,91.084,919.0
2024-04-19 09:30:00+00:00,91.084,91.108,91.056,91.061,994.0
2024-04-19 09:45:00+00:00,91.064,91.113,91.053,91.054,697.0
2024-04-19 10:00:00+00:00,91.053,91.053,90.982,90.986,1077.0
2024-04-19 10:15:00+00:00,90.986,90.988,90.921,90.985,1176.0
2024-04-19 10:30:00+00:00,90.984,91.028,90.922,90.93,1091.0
2024-04-19 10:45:00+00:00,90.93,90.966,90.93,90.956,1105.0
2024-04-19 11:00:00+00:00,90.954,90.962,90.926,90.931,1362.0
2024-04-19 11:15:00+00:00,90.93,90.992,90.93,90.97,905.0
2024-04-19 11:30:00+00:00,90.97,90.993,90.932,90.984,661.0
2024-04-19 11:45:00+00:00,90.982,90.989,90.958,90.987,422.0
2024-04-19 12:00:00+00:00,90.988,91.027,90.948,91.023,372.0
2024-04-19 12:15:00+00:00,91.024,91.095,91.012,91.09,1322.0
2024-04-19 12:30:00+00:00,91.088,91.182,91.084,91.17,944.0
2024-04-19 12:45:00+00:00,91.174,91.182,91.064,91.091,836.0
2024-04-19 13:00:00+00:00,91.092,91.132,91.08,91.098,730.0
2024-04-19 13:15:00+00:00,91.096,91.166,91.072,91.153,947.0
2024-04-19 13:30:00+00:00,91.15,91.21,91.12,91.192,986.0
2024-04-19 13:45:00+00:00,91.189,91.2,91.116,91.122,990.0
2024-04-19 14:00:00+00:00,91.122,91.198,91.094,91.144,1152.0
2024-04-19 14:15:00+00:00,91.146,91.2,91.094,91.2,1374.0
2024-04-19 14:30:00+00:00,91.202,91.244,91.142,91.202,1147.0
2024-04-19 14:45:00+00:00,91.202,91.244,91.152,91.167,1062.0
2024-04-19 15:00:00+00:00,91.163,91.207,91.152,91.183,898.0
2024-04-19 15:15:00+00:00,91.184,91.21,91.076,91.122,790.0
2024-04-19 15:30:00+00:00,91.122,91.144,91.087,91.112,609.0
2024-04-19 15:45:00+00:00,91.114,91.143,91.064,91.086,697.0
2024-04-19 16:00:00+00:00,91.085,91.13,90.998,91.0,1348.0
2024-04-19 16:15:00+00:00,91.002,91.004,90.942,90.945,755.0
2024-04-19 16:30:00+00:00,90.946,91.02,90.946,91.014,564.0
2024-04-19 16:45:00+00:00,91.013,91.084,91.012,91.078,330.0
2024-04-19 17:00:00+00:00,91.074,91.117,91.074,91.105,657.0
2024-04-19 17:15:00+00:00,91.104,91.114,91.039,91.043,978.0
2024-04-19 17:30:00+00:00,91.044,91.086,91.044,91.07,604.0
2024-04-19 17:45:00+00:00,91.072,91.134,91.066,91.098,850.0
2024-04-19 18:00:00+00:00,91.098,91.098,91.032,91.073,834.0
2024-04-19 18:15:00+00:00,91.072,91.088,91.005,91.006,593.0
2024-04-19 18:30:00+00:00,91.002,91.028,90.973,90.983,603.0
2024-04-19 18:45:00+00:00,90.982,91.006,90.969,90.98,413.0
2024-04-19 19:00:00+00:00,91.008,91.012,90.966,90.996,254.0
2024-04-19 19:15:00+00:00,90.996,91.013,90.966,91.006,361.0
2024-04-19 19:30:00+00:00,91.006,91.02,90.971,90.993,502.0
2024-04-19 19:45:00+00:00,90.991,91.02,90.982,91.004,299.0
2024-04-19 20:00:00+00:00,91.004,91.036,91.0,91.033,400.0
2024-04-19 20:15:00+00:00,91.036,91.049,91.034,91.04,311.0
2024-04-19 20:30:00+00:00,91.043,91.066,91.043,91.063,390.0
2024-04-19 20:45:00+00:00,91.059,91.072,91.028,91.056,343.0
2024-04-21 21:00:00+00:00,91.056,91.069,91.02,91.044,44.0
