datetime,open,high,low,close,volume
2025-04-20 22:00:00+00:00,955.334,956.08,954.09,956.08,30.0
2025-04-20 22:05:00+00:00,956.328,956.328,955.582,955.832,21.0
2025-04-20 22:10:00+00:00,955.582,956.33,955.582,956.33,8.0
2025-04-20 22:15:00+00:00,956.578,957.574,956.578,957.574,2.0
2025-04-20 22:20:00+00:00,957.822,958.32,955.334,955.832,17.0
2025-04-20 22:25:00+00:00,956.081,956.081,955.335,955.584,9.0
2025-04-20 22:30:00+00:00,955.833,955.833,954.341,954.59,27.0
2025-04-20 22:35:00+00:00,954.092,954.341,953.346,953.844,16.0
2025-04-20 22:40:00+00:00,954.092,954.34,954.092,954.092,3.0
2025-04-20 22:45:00+00:00,953.844,953.844,953.346,953.596,4.0
2025-04-20 22:50:00+00:00,953.346,954.342,953.346,954.092,8.0
2025-04-20 22:55:00+00:00,954.342,955.586,954.092,955.336,138.0
2025-04-20 23:00:00+00:00,955.586,955.586,954.342,954.59,33.0
2025-04-20 23:05:00+00:00,954.342,955.337,953.596,954.84,41.0
2025-04-20 23:10:00+00:00,955.088,955.088,954.592,954.592,7.0
2025-04-20 23:15:00+00:00,954.84,954.84,954.592,954.592,36.0
2025-04-20 23:20:00+00:00,954.342,954.342,953.348,953.596,17.0
2025-04-20 23:25:00+00:00,953.846,953.846,953.596,953.846,9.0
2025-04-20 23:30:00+00:00,954.094,954.841,953.846,954.344,11.0
2025-04-20 23:35:00+00:00,954.094,954.344,953.846,954.095,9.0
2025-04-20 23:40:00+00:00,953.846,954.344,953.35,954.344,14.0
2025-04-20 23:45:00+00:00,954.592,955.09,954.592,954.842,12.0
2025-04-20 23:50:00+00:00,955.09,955.09,954.842,955.09,1653.0
2025-04-20 23:55:00+00:00,954.842,955.09,954.842,955.09,2.0
2025-04-21 00:00:00+00:00,954.842,956.584,954.842,956.335,27.0
2025-04-21 00:05:00+00:00,956.584,956.832,956.335,956.584,99.0
2025-04-21 00:10:00+00:00,956.335,957.578,956.335,957.578,3.0
2025-04-21 00:15:00+00:00,957.828,957.828,957.58,957.58,4.0
2025-04-21 00:20:00+00:00,957.828,958.076,957.58,957.58,6.0
2025-04-21 00:25:00+00:00,957.331,957.828,957.082,957.082,26.0
2025-04-21 00:30:00+00:00,956.584,957.58,956.336,957.58,32.0
2025-04-21 00:35:00+00:00,957.331,957.58,956.586,956.834,19.0
2025-04-21 00:40:00+00:00,956.586,957.58,956.586,957.58,8.0
2025-04-21 00:45:00+00:00,957.332,957.58,956.586,956.835,36.0
2025-04-21 00:50:00+00:00,956.586,956.835,954.845,954.845,17.0
2025-04-21 00:55:00+00:00,955.094,955.84,954.845,955.343,33.0
2025-04-21 01:00:00+00:00,955.592,957.582,955.592,957.582,47.0
2025-04-21 01:05:00+00:00,956.586,959.322,955.841,959.074,45.0
2025-04-21 01:10:00+00:00,958.825,958.825,957.582,958.08,16.0
2025-04-21 01:15:00+00:00,957.831,957.831,956.588,956.836,33.0
2025-04-21 01:20:00+00:00,956.588,956.836,955.592,956.836,24.0
2025-04-21 01:25:00+00:00,956.588,957.086,956.588,956.837,4.0
2025-04-21 01:30:00+00:00,957.086,957.584,957.086,957.584,2.0
2025-04-21 01:35:00+00:00,957.832,958.578,957.832,958.578,3.0
2025-04-21 01:40:00+00:00,958.826,959.324,958.826,959.076,6.0
2025-04-21 01:45:00+00:00,959.324,959.324,958.578,958.578,15.0
2025-04-21 01:50:00+00:00,958.827,959.076,958.578,958.828,14.0
2025-04-21 01:55:00+00:00,958.58,959.326,958.58,959.076,9.0
2025-04-21 02:00:00+00:00,959.326,959.326,958.33,958.33,29.0
2025-04-21 02:05:00+00:00,958.828,958.828,958.082,958.082,4.0
2025-04-21 02:10:00+00:00,957.834,957.834,957.088,957.336,8.0
2025-04-21 02:15:00+00:00,957.088,957.586,957.088,957.337,10.0
2025-04-21 02:20:00+00:00,957.586,958.332,957.088,957.088,7.0
2025-04-21 02:25:00+00:00,956.84,956.84,956.59,956.84,11.0
2025-04-21 02:30:00+00:00,956.592,956.592,955.596,955.596,4.0
2025-04-21 02:35:00+00:00,955.846,956.094,955.348,956.094,16.0
2025-04-21 02:40:00+00:00,955.845,956.094,955.348,955.348,6.0
2025-04-21 02:45:00+00:00,955.596,955.598,955.348,955.598,9.0
2025-04-21 02:50:00+00:00,955.846,956.841,955.598,956.592,15.0
2025-04-21 02:55:00+00:00,956.841,957.339,956.841,956.841,12.0
2025-04-21 03:00:00+00:00,956.592,956.592,955.846,956.096,7.0
2025-04-21 03:05:00+00:00,956.344,956.344,955.847,956.096,5.0
2025-04-21 03:10:00+00:00,956.344,956.842,956.096,956.345,18.0
2025-04-21 03:15:00+00:00,956.594,957.588,956.345,957.588,19.0
2025-04-21 03:20:00+00:00,957.838,957.838,957.838,957.838,1.0
2025-04-21 03:25:00+00:00,958.584,958.832,958.086,958.086,4.0
2025-04-21 03:30:00+00:00,958.335,958.584,958.086,958.086,7.0
2025-04-21 03:35:00+00:00,958.336,958.584,957.59,957.59,17.0
2025-04-21 03:40:00+00:00,957.838,957.838,956.594,956.594,20.0
2025-04-21 03:45:00+00:00,956.844,958.584,956.594,958.336,17.0
2025-04-21 03:50:00+00:00,957.839,957.839,956.844,957.341,15.0
2025-04-21 03:55:00+00:00,957.59,957.59,956.844,957.342,9.0
2025-04-21 04:00:00+00:00,957.094,957.342,956.347,956.845,24.0
2025-04-21 04:05:00+00:00,957.093,957.093,956.347,956.845,18.0
2025-04-21 04:10:00+00:00,956.596,956.845,956.596,956.596,3.0
2025-04-21 04:15:00+00:00,956.348,956.348,955.104,955.602,71.0
2025-04-21 04:20:00+00:00,955.354,955.602,954.856,955.602,8.0
2025-04-21 04:25:00+00:00,955.85,955.85,955.354,955.602,8.0
2025-04-21 04:30:00+00:00,955.85,956.598,955.85,956.1,9.0
2025-04-21 04:35:00+00:00,955.851,956.1,955.602,955.851,19.0
2025-04-21 04:40:00+00:00,955.602,956.349,955.602,956.1,29.0
2025-04-21 04:45:00+00:00,956.349,956.349,955.604,956.349,365.0
2025-04-21 04:50:00+00:00,956.1,956.848,956.1,956.848,64.0
2025-04-21 04:55:00+00:00,956.598,956.848,956.102,956.35,16.0
2025-04-21 05:00:00+00:00,956.598,957.594,956.35,957.345,48.0
2025-04-21 05:05:00+00:00,957.096,957.843,957.096,957.346,120.0
2025-04-21 05:10:00+00:00,956.848,957.346,956.6,957.096,63.0
2025-04-21 05:15:00+00:00,956.848,957.346,956.6,956.848,22.0
2025-04-21 05:20:00+00:00,957.098,957.346,956.848,957.346,9.0
2025-04-21 05:25:00+00:00,956.849,957.346,956.849,957.346,11.0
2025-04-21 05:30:00+00:00,957.596,957.844,956.849,957.098,86.0
2025-04-21 05:35:00+00:00,957.347,957.844,956.849,957.347,503.0
2025-04-21 05:40:00+00:00,957.596,958.094,957.347,957.844,14.0
2025-04-21 05:45:00+00:00,957.596,957.845,957.347,957.845,5.0
2025-04-21 05:50:00+00:00,958.094,959.586,958.094,959.586,19.0
2025-04-21 05:55:00+00:00,959.338,959.586,959.338,959.586,4.0
2025-04-21 06:00:00+00:00,959.338,959.836,959.338,959.586,20.0
2025-04-21 06:05:00+00:00,959.836,959.836,959.09,959.338,138.0
2025-04-21 06:10:00+00:00,959.586,959.586,958.592,958.841,146.0
2025-04-21 06:15:00+00:00,958.592,959.339,958.592,958.841,404.0
2025-04-21 06:20:00+00:00,959.09,959.588,958.841,959.339,120.0
2025-04-21 06:25:00+00:00,959.588,959.588,959.339,959.339,174.0
2025-04-21 06:30:00+00:00,959.09,959.339,959.09,959.339,68.0
2025-04-21 06:35:00+00:00,959.09,959.588,959.09,959.34,86.0
2025-04-21 06:40:00+00:00,959.588,961.828,959.34,961.082,28.0
2025-04-21 06:45:00+00:00,961.33,961.578,961.082,961.082,44.0
2025-04-21 06:50:00+00:00,960.832,961.082,960.584,960.584,91.0
2025-04-21 06:55:00+00:00,960.833,960.833,960.584,960.584,164.0
2025-04-21 07:00:00+00:00,961.082,963.072,960.834,961.828,34.0
2025-04-21 07:05:00+00:00,962.078,962.326,961.082,961.331,35.0
2025-04-21 07:10:00+00:00,961.082,961.331,959.092,959.59,90.0
2025-04-21 07:15:00+00:00,959.342,959.839,958.844,959.342,69.0
2025-04-21 07:20:00+00:00,959.59,960.088,958.844,959.59,292.0
2025-04-21 07:25:00+00:00,959.342,960.586,959.342,960.586,134.0
2025-04-21 07:30:00+00:00,961.084,961.83,960.586,961.582,165.0
2025-04-21 07:35:00+00:00,961.084,961.332,960.088,960.088,7.0
2025-04-21 07:40:00+00:00,960.338,960.338,958.596,959.592,62.0
2025-04-21 07:45:00+00:00,960.338,960.338,959.094,959.343,64.0
2025-04-21 07:50:00+00:00,959.094,959.343,957.354,957.851,234.0
2025-04-21 07:55:00+00:00,958.349,958.846,957.354,958.598,157.0
2025-04-21 08:00:00+00:00,958.349,958.598,958.349,958.349,21.0
2025-04-21 08:05:00+00:00,958.598,959.344,958.349,958.847,110.0
2025-04-21 08:10:00+00:00,958.349,958.598,957.604,957.604,5.0
2025-04-21 08:15:00+00:00,957.852,958.102,957.604,958.102,40.0
2025-04-21 08:20:00+00:00,958.35,958.848,957.604,957.604,68.0
2025-04-21 08:25:00+00:00,957.356,958.6,957.356,957.853,144.0
2025-04-21 08:30:00+00:00,957.604,957.854,957.604,957.604,17.0
2025-04-21 08:35:00+00:00,957.108,957.108,956.61,957.108,60.0
2025-04-21 08:40:00+00:00,957.356,957.604,957.108,957.604,28.0
2025-04-21 08:45:00+00:00,957.356,957.606,957.356,957.606,22.0
2025-04-21 08:50:00+00:00,957.356,958.102,957.356,958.102,17.0
2025-04-21 08:55:00+00:00,958.6,958.6,957.854,958.6,53.0
2025-04-21 09:00:00+00:00,958.85,959.098,958.352,958.6,19.0
2025-04-21 09:05:00+00:00,958.85,959.098,958.352,958.352,27.0
2025-04-21 09:10:00+00:00,958.602,958.602,958.352,958.353,38.0
2025-04-21 09:15:00+00:00,958.104,958.104,957.856,958.104,5.0
2025-04-21 09:20:00+00:00,958.354,958.354,957.856,958.104,48.0
2025-04-21 09:25:00+00:00,957.856,958.85,957.856,958.104,95.0
2025-04-21 09:30:00+00:00,957.856,958.354,957.608,958.104,16.0
2025-04-21 09:35:00+00:00,958.354,958.602,958.354,958.602,32.0
